Rows,79k,,
Columns114,114,,
Each row is a Facility Inspection,,,
Column Name,Description,API Field Name,Data Type
Restaurant Name,"The Program Identifier allows users to add a description for a General Health Program record that identifies one general health program from another. For example, two programs (restaurants) at one facility can have the same Program/Element code (1600 - Food). The PROGRAM_IDENTIFIER field allows users to add a description for differentiating the two (The Moonlight Room and The Laguna Lounge).",program_identifier,Text
Inspection Type,"Code indicating the inspection type, such as Routine, Follow-up, Complaint, Temporary and Mobile. • Routine Inspections – are conducted at least once every six months • Follow-up Inspections – are conducted as a result of poor sanitation issues, low scores • Complaints Inspections – General Sanitation/Hygienic Practices /Illness Investigation, Smoking and Other • Temporary – the City of Dallas Office of Special Events provides a listing of public events being held involving food and the Consumer Health Division provides guidance and inspects • Mobile – the various mobile food units are inspected annually with random inspections conducted during the year",type,Text
Inspection Date,Date the inspection for the facility was performed.,insp_date,Floating Timestamp
Inspection Score,"The aggregate score from the inspection violations. Please note not every violation will reflect a point deduction as establishments are allowed to correct violations during the inspection process, and therefore no reduction in the overall score is reflected for the violation.",score,Number
Street Number,Street number for the address of the facility.,street_number,Number
Street Name,Street name for the address of the facility.,street_name,Text
Street Direction,"Street direction for the address of the facility. For example, N, W, S, etc.",street_direction,Text
Street Type,"Street type for the address of the facility. For example, AVE, LN, ST, etc.",street_type,Text
Street Unit,Unit number or apartment number for the address of the facility.,street_unit,Text
Street Address,Full street address of the facility.,site_address,Text
Zip Code,Zip Code of the facility's address.,zip,Text
Violation Description - 1,A brief description of the violation.,violation1_description,Text
Violation Points - 1,The amount of points assigned to this violation.,violation1_points,Number
Violation Detail - 1,Field used to describe the type of violation associated with the enforcement action.,violation1_text,Text
Violation Memo - 1,This field is used for any additional comments about the enforcement action.,violation1_memo,Text
Violation Description - 2,A brief description of the violation.,violation2_description,Text
Violation Points - 2,The amount of points assigned to this violation.,violation2_points,Number
Violation Detail - 2,Field used to describe the type of violation associated with the enforcement action.,violation2_text,Text
Violation Memo - 2,This field is used for any additional comments about the enforcement action.,violation2_memo,Text
Violation Description - 3,A brief description of the violation.,violation3_description,Text
Violation Points - 3,The amount of points assigned to this violation.,violation3_points,Number
Violation Detail - 3,Field used to describe the type of violation associated with the enforcement action.,violation3_text,Text
